 rx_bytes_10 rx_bytes_25 rx_bytes_50 rx_bytes_75 rx_bytes_90 rx_bytes_99 rx_desc_10 rx_desc_25 rx_desc_50 rx_desc_75 rx_desc_90 rx_desc_99 tx_bytes_10 tx_bytes_25 tx_bytes_50 tx_bytes_75 tx_bytes_90 tx_bytes_99 tx_desc_10 tx_desc_25 tx_desc_50 tx_desc_75 tx_desc_90 tx_desc_99 instructions_10 instructions_25 instructions_50 instructions_75 instructions_90 instructions_99 llc_miss_10 llc_miss_25 llc_miss_50 llc_miss_75 llc_miss_90 llc_miss_99 cycles_10 cycles_25 cycles_50 cycles_75 cycles_90 cycles_99 ref_cycles_10 ref_cycles_25 ref_cycles_50 ref_cycles_75 ref_cycles_90 ref_cycles_99 joules_99 itr dvfs
0 0.0 0.0 60.0 120.0 182.0 733.3000000000029 0.0 0.0 1.0 1.0 2.0 3.0 0.0 0.0 0.0 122.0 296.0 1273.0 0.0 0.0 0.0 3.0 3.0 6.0 0.0 0.0 0.0 0.0 13608511253.0 13905479226.4 0.0 0.0 0.0 0.0 166509981.0 168008552.8 0.0 0.0 0.0 0.0 67961590878.0 69170877167.2 0.0 0.0 0.0 0.0 129074758518.0 131524105034.3 351020033.40000004 100 0x1700
1 0.0 0.0 104.0 155.0 252.0 911.0 0.0 0.0 1.0 1.0 2.0 4.0 0.0 0.0 0.0 151.0 406.0 1559.0 0.0 0.0 0.0 3.0 3.0 8.0 0.0 0.0 0.0 0.0 18835483984.0 19535025079.2 0.0 0.0 0.0 0.0 209044473.5 212246708.9 0.0 0.0 0.0 0.0 94987086532.5 97491142280.25 0.0 0.0 0.0 0.0 170819235485.0 175507828496.9 1832171820.0 100 0x1b00
2 119.0 254.0 468.0 778.0 1241.0 3247.0 1.0 2.0 4.0 5.0 7.0 11.0 142.0 338.0 683.0 1235.0 2030.0 5017.820000000007 3.0 6.0 9.0 14.0 18.0 34.0 0.0 0.0 0.0 0.0 16619090321.000002 21716162060.72 0.0 0.0 0.0 0.0 137622618.4 159011184.74 0.0 0.0 0.0 0.0 46286752138.600006 56733001260.68001 0.0 0.0 0.0 0.0 83109506821.20001 100823011922.08 2021907267.96 100 0x1500
3 0.0 0.0 60.0 120.0 188.0 744.5500000000029 0.0 0.0 1.0 1.0 2.0 3.0 0.0 0.0 0.0 121.0 288.0 1221.0 0.0 0.0 0.0 3.0 3.0 6.0 0.0 0.0 0.0 0.0 16744400381.0 17059087623.8 0.0 0.0 0.0 0.0 180280141.0 181842226.45 0.0 0.0 0.0 0.0 82227473432.5 83477288026.75 0.0 0.0 0.0 0.0 156771627089.5 159361921972.3 1088081427.7 100 0x1500
4 0.0 60.0 131.0 282.0 496.0 1524.0 0.0 1.0 1.0 2.0 3.0 6.0 0.0 0.0 156.0 409.0 841.0 2512.0 0.0 0.0 3.0 6.0 8.0 14.0 0.0 0.0 0.0 0.0 29837927708.0 31644229989.0 0.0 0.0 0.0 0.0 226906882.0 235270139.0 0.0 0.0 0.0 0.0 77833223740.0 82834491179.0 0.0 0.0 0.0 0.0 133427278792.0 143204475991.0 2267469935.0 100 0x1300
5 134.0 292.0 486.0 780.0 1198.0 2798.8800000000047 1.0 2.0 4.0 5.0 7.0 10.0 196.0 390.0 736.0 1269.0 1999.0 4302.0 3.0 6.0 10.0 14.0 18.0 26.0 0.0 0.0 0.0 0.0 30593598003.0 35839081632.840004 0.0 0.0 0.0 0.0 200341711.20000002 223095217.24 0.0 0.0 0.0 0.0 77783340252.8 88191780816.0 0.0 0.0 0.0 0.0 147736423394.6 167316707002.04 2619267962.68 100 0x1100
6 98.0 136.0 317.0 514.0 830.0 2146.720000000001 1.0 1.0 2.0 4.0 5.0 7.0 78.0 199.0 441.0 851.0 1442.0 3436.4400000000023 2.0 3.0 6.0 10.0 13.0 20.0 0.0 0.0 0.0 0.0 18713267866.4 22231863421.16 0.0 0.0 0.0 0.0 146693102.8 161728583.32 0.0 0.0 0.0 0.0 50022912648.4 57845141867.36 0.0 0.0 0.0 0.0 94521064850.2 109871907197.32 2019881729.4 100 0x1100
7 98.0 136.0 316.0 510.0 829.0 2157.0 1.0 1.0 2.0 4.0 5.0 7.0 78.0 199.0 438.0 850.0 1430.0 3469.640000000014 2.0 3.0 6.0 10.0 13.0 20.0 0.0 0.0 0.0 0.0 25406950231.600002 28900604608.0 0.0 0.0 0.0 0.0 182225137.20000002 196157197.12 0.0 0.0 0.0 0.0 79782878832.0 88268966462.40001 0.0 0.0 0.0 0.0 128326038588.6 141480319298.84 3121522289.92 100 0x1d00
8 102.0 170.0 332.0 544.0 863.0 2214.5 1.0 1.0 3.0 4.0 5.0 8.0 78.0 199.0 436.0 849.0 1437.0 3401.0 2.0 3.0 6.0 10.0 13.0 20.0 0.0 0.0 0.0 0.0 19484413089.0 23022164991.5 0.0 0.0 0.0 0.0 167988821.0 183121160.0 0.0 0.0 0.0 0.0 65601198728.0 73977630615.5 0.0 0.0 0.0 0.0 112139946097.0 125971820433.0 2876205707.0 100 0x1900
9 0.0 119.0 275.0 522.0 909.0 2434.0 0.0 1.0 2.0 3.0 5.0 8.0 0.0 134.0 377.0 814.0 1493.0 3900.0 0.0 3.0 6.0 9.0 14.0 26.0 0.0 0.0 0.0 0.0 36042447359.8 39342129093.32 0.0 0.0 0.0 0.0 260459319.4 273631762.16 0.0 0.0 0.0 0.0 96673418800.0 103985224586.3 0.0 0.0 0.0 0.0 168773356848.2 182397037571.30002 2891378441.66 100 0x1300
10 147.0 310.0 501.0 801.0 1222.0 2804.0 1.0 2.0 4.0 5.0 7.0 10.0 195.0 389.0 731.0 1271.0 2000.0 4331.0 3.0 6.0 10.0 14.0 18.0 26.0 0.0 0.0 0.0 0.0 8331772256.0 13596138923.0 0.0 0.0 0.0 0.0 90121125.0 111099569.0 0.0 0.0 0.0 0.0 24690636075.0 36359303820.0 0.0 0.0 0.0 0.0 39510101874.0 56553147283.0 1395483351.0 100 0x1d00
11 0.0 60.0 138.0 283.0 477.0 1456.0 0.0 1.0 1.0 2.0 3.0 5.0 0.0 78.0 161.0 416.0 825.0 2381.0499999999884 0.0 2.0 3.0 6.0 8.0 13.0 0.0 0.0 0.0 0.0 455245446.5 2291934066.199999 0.0 0.0 0.0 0.0 59410270.5 67249919.85 0.0 0.0 0.0 0.0 5011159607.5 10154889073.799997 0.0 0.0 0.0 0.0 9278911673.5 18373762448.049995 923080507.0 100 0x1900
12 1229.0 1561.0 2048.0 2659.0 3450.7999999999993 6069.639999999992 10.0 12.0 15.0 17.0 20.0 26.0 1536.0 2115.0 2941.0 4038.0 5341.799999999999 8938.359999999997 23.0 29.0 35.0 42.0 49.0 62.0 22802798334.6 23100098645.0 23594663971.0 24088290698.0 24386651709.8 24566644681.64 162620626.0 163783707.0 165719032.0 167636964.0 168799024.0 169503201.48 52882978890.6 53464192362.0 54431015700.0 55395973953.0 55978186438.0 56329824158.68 104362993813.4 105572111212.0 107581759447.0 109588198571.0 110798436193.2 111529701802.12 1785332305.96 100 0xf00
13 0.0 0.0 60.0 120.0 181.0 721.0 0.0 0.0 1.0 1.0 2.0 3.0 0.0 0.0 0.0 122.0 292.40000000000873 1260.0 0.0 0.0 0.0 3.0 3.0 6.0 0.0 0.0 0.0 0.0 17292670228.2 17591447378.32 0.0 0.0 0.0 0.0 196356355.6 197922541.92 0.0 0.0 0.0 0.0 87896764080.6 89106980240.6 0.0 0.0 0.0 0.0 157562707739.4 159959092059.72 1362426630.2 100 0x1b00
14 0.0 60.0 104.0 157.0 254.0 914.0 0.0 1.0 1.0 1.0 2.0 4.0 0.0 0.0 0.0 154.0 410.0 1507.0 0.0 0.0 0.0 3.0 3.0 8.0 0.0 0.0 0.0 0.0 2146290532.1000009 2842651995.0899997 0.0 0.0 0.0 0.0 111823623.10000001 114951428.84 0.0 0.0 0.0 0.0 18457929466.100002 20927996179.179996 0.0 0.0 0.0 0.0 38523659078.8 43116455543.03 1706187850.1499999 100 0x1d00
15 0.0 60.0 140.0 285.0 481.0 1455.0 0.0 1.0 1.0 2.0 3.0 5.0 0.0 0.0 156.0 412.0 824.0 2356.0 0.0 0.0 3.0 6.0 8.0 13.0 0.0 0.0 0.0 0.0 448080700.2000013 2301384094.660001 0.0 0.0 0.0 0.0 58387902.10000001 67081108.84 0.0 0.0 0.0 0.0 4816516259.900003 10212990897.580002 0.0 0.0 0.0 0.0 8842868972.700006 18109544286.150005 700859784.0 100 0x1b00
